,reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt
47,95bfa0e3-2c44-4a58-92e1-1faaad018d21,조인호,https://play-lh.googleusercontent.com/a/ALm5wu142qwlV_GzfrBTq3N-9UyGaZj65SZ5BkMMzd3x=mo,투기조장 하는 어플임 지역아파트 단점쓰면 운영자가 댓글 삭제해버림 다 장점만 쓰여있음 호갱노노 아니고 호갱모집 어플임,1,4,1.9.5,2022-06-20 23:44:53,,
48,9458cd6d-41c8-489e-89cc-277a074b5c62,남라제인,https://play-lh.googleusercontent.com/a/ALm5wu1Oz2p-DIH1e7wicjy81qLOlHaEYVAVGdc43PUN=mo,금방 너무 좋아요 ㅡ 스 부츠 정말,2,1,1.9.2,2022-06-20 18:16:00,,
49,6af61853-58ec-4905-b876-3494a5cb57fa,서동권,https://play-lh.googleusercontent.com/a-/ACNPEu-9EwVeVePNJWyPkQCkUTYqia5g99tqyWcVK27-dw,이야기 게시물 3개밖에 안보이고 더보기 눌러도 페이지네이션이 안됨.. 이런 중요한 메뉴의 기본적인 버그가 안고쳐지는건 문제가 있는듯. 거기에 이야기 게시물에 실거주자 여부 표시가 없어서 그냥 지어낸 얘긴지 실제 경험인지 알 수가 없음. 전월세 검색은 하나로 합쳐져있는데 금액 필터는 하나뿐이라 월세는 검색도 못함. 이럴거면 왜있는건지.. 이런 버그나 기획 오류같은 자잘자잘한 문제점들이 산재되있어 전체 서비스 완성도에 문제가 있음.,2,64,1.9.6,2022-06-19 19:57:22,,
50,4bbc6191-ba43-4630-a0aa-06952839f4a0,폴리네,https://play-lh.googleusercontent.com/a/ALm5wu1UClZJP_5lbeczKvwqpm2U_-COO03Onhi1cSqd=mo,이야기에 더보기가 클릭안되고 내려가지지 않아요,2,1,1.9.6,2022-06-19 15:30:32,,
51,d89de57d-6b12-447a-b32d-6790d1286d93,박영준,https://play-lh.googleusercontent.com/a/ALm5wu131bZ2BXhy_DDhJVKQ8moDHp_OFbx2jy-rYINI=mo,3d일조량 보기 기능이 없어졌나요?,4,0,1.9.6,2022-06-19 12:27:34,,
52,7f5b4022-1b70-4344-b8b9-1ae3bfbee899,고동균,https://play-lh.googleusercontent.com/a-/ACNPEu8kTwObVldEI1UTJ_Nei1MJFpd7DeJ2D2zpLZUcuw,"汕,",4,0,1.9.6,2022-06-18 12:49:29,,
53,8ace7e2d-835b-46d6-a13a-f54d0f94a05a,얼라땐얼짱,https://play-lh.googleusercontent.com/a-/ACNPEu-1FyqJLfEHHBpoNh9Ujk4td3nKnXmqU0s0KZFu,"%3#,2-323W232",5,0,1.9.4,2022-06-17 12:13:26,,
54,6e457579-d4d0-4e6f-960e-210420d3b2bb,이재원,https://play-lh.googleusercontent.com/a/ALm5wu2aXKNYylFWYrEFVlEoV1KWn2EzlFAuWiukwRB4=mo,호갱호호 - 아파트 실거래가 조희 부동산 앱,5,0,1.9.6,2022-06-14 21:58:32,,
55,5bc63697-6819-49db-adb6-65548d3b2762,JAM Jam,https://play-lh.googleusercontent.com/a-/ACNPEu9LJ5qUEiJmCqs7oG2WBg2DdhsBteF5ypc-UNzw,이전앱을 안되게 만들어놨네 ㅋㅋ 개 발로 하는구나..,1,1,1.9.5,2022-06-12 20:06:01,,
56,077753cb-8e9b-4029-9ef3-ce873a232040,Anymore,https://play-lh.googleusercontent.com/a-/ACNPEu9AXecXCPWuReEM-5YFGb7I5IPSXcitL2OEWOFXAg,검색 시스템이 장애인 수준임,1,2,1.9.6,2022-06-12 14:33:38,,
57,5cd874c0-0285-4448-9ad8-69fd5aa7e57a,Gunho Park,https://play-lh.googleusercontent.com/a/ALm5wu3b_OMKBs6HJbhoJJk62LXwJbAikIqbM6a1d6io=mo,별 0개는 없나요?,1,1,1.8.10,2022-06-10 17:02:00,,
58,89a38e5a-7318-42dd-94dc-7298d73ac7ef,김선식,https://play-lh.googleusercontent.com/a/ALm5wu1W7QSEFCJqGMTKdDNQ6Sa2-CKL0ROWk0AB8rDb=mo,일조량 보는게 막힌줄도 몰랐네 이 어플 그걸로 유명한데 공지도없네요,3,0,1.9.5,2022-06-10 00:19:06,,
59,b9c39081-a136-465e-997b-3ab5bdd0769b,베베,https://play-lh.googleusercontent.com/a/ALm5wu3UWZm8VjjlVpciQnByLsZ-q5ucsDktKJu6IKIl=mo,아파트 실거래가 확인용으로 잘 사용하고 있습니다. 그런데 앱 알람이 좀 느립니다. 댓글이나 실거래가 업데이트 되면 실시간으로 알람이 뜨게 해줬으면 좋겠습니다. 알람 뜨고 들어가 보면 이미 제가 전에 들어가 확인한 내용입니다.,4,0,1.9.4,2022-06-08 11:54:15,,
60,3204a670-0e28-45a3-93b4-3973ae1795d1,JS N,https://play-lh.googleusercontent.com/a/ALm5wu2hirEvP7_wdN23gPeZmjT5s6k8EUNhPxCJgvM-=mo,굿,5,0,1.9.4,2022-06-08 10:37:08,,
61,07699e86-bd1c-4372-928f-100f6611d85d,임동선,https://play-lh.googleusercontent.com/a/ALm5wu3nSg23SND_uI7X1V2TtK-Oxqxp9sZoZ5BGOgBD=mo,굿,5,0,1.9.5,2022-06-08 08:57:39,,
62,1fae6103-f983-4620-ac1e-1ac24e9a1f12,정진택,https://play-lh.googleusercontent.com/a-/ACNPEu95BOS5aCoXPkesSoFITXdMFzUCa1a2wt0OZmBorw,잘 이용하고있어요,5,0,1.9.4,2022-06-04 12:59:57,,
